id,nombre,provincia,municipio,departamento_id
3035,VILA VILA/ ALALAY,MIZQUE,ALALAY,3
3036,PUNATA (C. VILLA PUNATA),PUNATA,PUNATA,3
3037,VILLA RIVERO/ TACACHI/ CUCHUMUELA (VILLA G. VILLARROEL),PUNATA,VILLA RIVERO,3
3038,SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA),PUNATA,SAN BENITO,3
3039,BOLIVAR,BOLIVAR,BOLIVAR,3
3040,TIRAQUE,TIRAQUE,TIRAQUE,3
3061,COCHABAMBA 1,CERCADO,CAPITAL (COCHABAMBA),3
3062,COCHABAMBA 2,CERCADO,CAPITAL (COCHABAMBA),3
3063,ENTRE RIOS,CARRASCO,ENTRE RIOS,3
3064,SHINAHOTA,TIRAQUE,SHINAHOTA,3
4001,ORURO,CERCADO,CAPITAL (ORURO),4
4002,CARACOLLO,CERCADO,CARACOLLO,4
4003,EL CHORO,CERCADO,EL CHORO,4
4004,CHALLAPATA,EDUARDO AVAROA,CHALLAPATA,4
4005,CORQUE/ CHOQUE COTA,CARANGAS,CORQUE,4
4006,CURAHUARA DE CARANGAS,SAJAMA,CURAHUARA DE CARANGAS,4
4007,TURCO,SAJAMA,TURCO,4
4008,HUACHACALLA/ ESCARA/CRUZ DE MACH./YUNGUYO LITORAL /ESMERALDA,LITORAL DE ATACAMA,ESMERALDA,4
4009,POOPO (C. VILLA DE POOPO),POOPO,POOPO (VILLA POOPO),4
4010,PAZÑA/ ANTEQUERA,POOPO,PAZNA,4
4011,HUANUNI,PANTALEON DALENCE,HUANUNI,4
4012,MACHACAMARCA,PANTALEON DALENCE,MACHACAMARCA,4
4013,SALINAS DE GARCI MENDOZA/ PAMPA AULLAGAS,LADISLAO CABRERA,SALINAS DE GARCI MENDOZA,4
4015,TOLEDO,SAUCARI,TOLEDO,4
4016,EUCALIPTUS,TOMAS BARRON,EUCALIPTUS,4
4017,ANDAMARCA (STGO.DE ANDAMARCA)/ BELEN DE ANDAMARCA,SUD CARANGAS,SANTIAGO DE ANDAMARCA,4
4018,TOTORA,SAN PEDRO DE TOTORA,TOTORA,4
4019,SANTIAGO DE HUARI/SANTUARIO DE QUILLACAS,SEBASTIAN PAGADOR,SANTIAGO DE HUARI,4
4021,HUAYLLAMARCA (C. SANTIAGO DE HUAYLLAMARCA),NOR CARANGAS,HUAYLLAMARCA,4
4022,PARIA-SORACACHI,CERCADO,SORACACHI,4
4023,SABAYA-LA RIVERA,MEJILLONES,CARANGAS,4
5001,POTOSI,TOMAS FRIAS,CAPITAL (POTOSI),5
5002,TINGUIPAYA (C. ING. GABRIEL VERA),TOMAS FRIAS,TINGUIPAYA,5
5003,YOCALLA,TOMAS FRIAS,YOCALLA,5
5005,UNCIA,RAFAEL BUSTILLO,UNCIA,5
5006,CHAYANTA,RAFAEL BUSTILLO,CHAYANTA,5
5007,LLALLAGUA,RAFAEL BUSTILLO,LLALLAGUA,5
5008,BETANZOS,CORNELIO SAAVEDRA,BETANZOS,5
5009,CHAQUI,CORNELIO SAAVEDRA,CHAQUI,5
5010,TACOBAMBA,CORNELIO SAAVEDRA,TACOBAMBA,5
5011,COLQUECHACA,CHAYANTA,COLQUECHACA,5
5012,RAVELO (A. MORO MORO),CHAYANTA,RAVELO,5
5013,POCOATA,CHAYANTA,POCOATA,5
5014,OCURI,CHAYANTA,OCURI,5
5015,SAN PEDRO (C. SAN PEDRO DE BUENA VISTA),CHARCAS,SAN PEDRO DE BUENA VISTA,5
5016,TORO TORO,CHARCAS,TORO TORO,5
5017,COTAGAITA,NOR CHICHAS,COTAGAITA,5
5018,VITICHI,NOR CHICHAS,COTAGAITA,5
5019,SACACA (C. VILLA DE SACACA),ALONSO DE IBAÑEZ,SACACA (VILLA DE SACACA),5
5020,CARIPUYO,ALONSO DE IBAÑEZ,CARIPUYO,5
5021,TUPIZA,SUR CHICHAS,TUPIZA,5
5022,ATOCHA,SUR CHICHAS,ATOCHA,5
5023,COLCHA K/ SAN PEDRO/ SAN AGUSTIN,NOR LIPEZ,SAN PEDRO DE QUEMES,5
5024,SAN PABLO DE LIPEZ / MOJINETE/ SAN ANTONIO DE ESMORUCO,SUR LIPEZ,SAN PABLO DE LIPEZ,5
5025,PUNA (C. VILLA TALAVERA),JOSE MARIA LINARES,PUNA (VILLA TALAVERA),5
5026,CAIZA D,JOSE MARIA LINARES,CAIZA D,5
5027,UYUNI,ANTONIO QUIJARRO,UYUNI,5
5028,TOMAVE,ANTONIO QUIJARRO,TOMAVE,5
5029,PORCO,ANTONIO QUIJARRO,PORCO,5
5030,ARAMPAMPA,GENERAL BERNARDINO BILBAO,ARAMPAMPA,5
5031,ACASIO,GENERAL BERNARDINO BILBAO,ACASIO,5
5032,LLICA/ TAHUA,DANIEL CAMPOS,TAHUA,5
5033,VILLAZON,MODESTO OMISTE,VILLAZON,5
5034,CKOCHAS,JOSE MARIA LINARES,CKOCHAS,5
6001,TARIJA,CERCADO,CAPITAL (TARIJA),6
6002,PADCAYA,ANICETO ARCE,PADCAYA,6
6003,BERMEJO,ANICETO ARCE,BERMEJO,6
6004,YACUIBA,GRAN CHACO,YACUIBA,6
6005,CARAPARI,GRAN CHACO,CARAPARI,6
6006,VILLA MONTES,GRAN CHACO,VILLAMONTES,6
6007,URIONDO (A. CONCEPCION),AVILEZ,URIONDO (CONCEPCION),6
6008,YUNCHARA,AVILEZ,YUNCHARA,6
6009,SAN LORENZO (C. VILLA SAN LORENZO),MENDEZ,SAN LORENZO,6
