id;area_conocimiento_id;padre_id;titulo;orden;trimestre
3409020400;3409;3409020000;El Buen Trato Desde La Interculturalidad Y La Interreligiosidad. (Diálogo, Corresponsabilidad);4;
3409020500;3409;3409020000;Programa De Vida De Jesús Lucas 4,18-21;5;
3409030100;3409;3409030000;El Reino De Dios En La Tierra En El Vivir Bien: Suma Qamaña, Ñandereco, Sumaq, Kawsay, Teko Kavi, Ivimaraei, Qhapajñan (Art. 8, Cpe).;1;
3409030200;3409;3409030000;Identificación De Los Valores Que Promuevan El Rescate De La Casa Común. (Preservación, Conservación Y Forestación) Laudato Si;2;
3409030300;3409;3409030000;Proyecto De Vida De Jesús Para El Vivir Bien: Las Bienaventuranzas Mt. 5,3-12;3;
3409040100;3409;3409040000;El Sí De María En El Plan De Salvación.;1;
3409040200;3409;3409040000;Vocación Al Servicio De La Familia Y La Comunidad A Ejemplo De Jesús;2;
3409040300;3409;3409040000;Compromiso Con Mi Vocación;3;
3409050100;3409;3409050000;Trabajo De Presencia Asistencia Focalizada En Personas En Vulnerabilidad En La Comunidad Educativa U Otras Instituciones: Asilos De Ancianos, Hogares De Niños;1;
3409060100;3409;3409060000;La Diversidad Y Pluralidad Como Retos De La Realidad Desde Las Diferentes Culturas Y Religiones.;1;
3409060200;3409;3409060000;La Interreligiosidad E Interculturalidad Para Relacionarnos En Armonía.;2;
3409060300;3409;3409060000;El Diálogo Interreligioso Como Práctica De Encuentro. (Hechos 17:22-23);3;
3409070100;3409;3409070000;Mitología De La Creación Del Universo, Desde Las Nypiocs;1;
3409070200;3409;3409070000;Diferentes Teorías Sobre El Origen De La Vida Y El Universo;2;
3409070300;3409;3409070000;Teoría Creacionista;3;
3409070400;3409;3409070000;Relación Entre Ciencia Y Religión;4;
3409080100;3409;3409080000;El Carácter Religioso Del Ser Humano.;1;
3409080200;3409;3409080000;El Ser Humano En Busca De Dios Y La Trascendencia.;2;
3409080300;3409;3409080000;La Religión;3;
3409080400;3409;3409080000;Relación Entre Fe Y Razón (Fides Et Ratio).;4;
3509010100;3509;3509010000;El Pueblo Elegido Y La Alianza, La Tierra Prometida, La Pascua Judía, Un Dios Único, El Tanak Y La Torá, Ritos, Tradiciones, Festividades Y Símbolos.;1;
3509010200;3509;3509010000;Comunidades Judías;2;
3509010300;3509;3509010000;Análisis Crítico De Sus Principios Y Su Relación Con Nuestras Creencias.;3;
3509020100;3509;3509020000;La Vida De Jesús En Los Evangelios.;1;
3509020200;3509;3509020000;Libros Sagrados Del Cristianismo: El Antiguo Y Nuevo Testamento.;2;
3509020300;3509;3509020000;Doctrina, Símbolos Y Dogmas.;3;
3509020400;3509;3509020000;Primeras Comunidades Cristianas: Persecución Y Mártires De La Iglesia.;4;
3509020500;3509;3509020000;San Ignacio De Antioquia.;5;
