id,nombre,distrito_id,area,nivel,latitud,longitud
80980462,RENE CRESPO RICO,3062,Urbano,3,-17.426338094578,-66.150915324688
80980463,BARTOLINA SISA,3062,Urbano,7,-17.4473991394043,-66.1557464599609
80980464,DR. DARIO MONTAÑO,3062,Urbano,2,-17.4213508203487,-66.1356111168857
80980465,SIGLO XX,3062,Urbano,4,-17.433599472046,-66.121772766113
80980472,SANTIAGO,3061,Urbano,7,-17.350799560547,-66.15461730957
80980476,AMERICA DEL SUR,3062,Urbano,4,-17.422199249268,-66.137985229492
80980477,MARINA NUÑEZ DEL PRADO,3062,Urbano,7,-17.4312992095947,-66.1367263793945
80980479,14 DE SEPTIEMBRE,3061,Urbano,2,-17.285560105027,-66.1486199375
80980480,MINERO SAN JUAN,3062,Urbano,7,-17.476900100708,-66.1100921630859
80980496,RAYITO DE LUZ,3062,Urbano,1,-17.419900894165,-66.1373825073242
80980497,GABRIELA MISTRAL,3062,Urbano,3,-17.433599472046,-66.121772766113
80980502,SAN NICOLAS,3062,Urbano,7,-17.4825000762939,-66.153076171875
80980503,HNA. TERESA DE CALCUTA,3062,Urbano,3,-17.439514000337,-66.1512992382054
80980504,DIONISIO MORALES CHOQUE,3062,Urbano,7,-17.465000152588,-66.128173828125
80980505,NUEVA ESPERANZA,3062,Urbano,4,-17.4899005889893,-66.1783294677734
80980507,SANTA ROSA DE LIMA,3061,Urbano,1,-17.3754828439771,-66.1765149112549
80980508,JOHN DEWEY,3061,Urbano,7,-17.3568000793457,-66.1833877563477
80980510,CANAAN,3062,Urbano,7,-17.4399307546928,-66.1232634633778
80980512,HUELLITAS,3061,Urbano,3,-17.3748615034527,-66.1641618013383
80980514,AYNI PACHA,3062,Urbano,4,-17.4545097620371,-66.1106209754943
80980515,PADRE LUIS DIEZ DEL POZO,3062,Urbano,7,-17.4435005187988,-66.1964492797852
80980517,TUPAC KATARI,3062,Urbano,7,-17.4372005462646,-66.1356735229492
80980522,BOLIVIANO HOLANDES,3062,Urbano,3,-17.4899005889893,-66.1783294677734
80980524,MADRE DE LA DIVINA PROVIDENCIA,3062,Urbano,7,-17.439458,-66.149714
80980525,21 DE SEPTIEMBRE,3062,Urbano,3,-17.482310973099,-66.180823296906
80980527,MAGIC KIDS CALA CALA,3061,Urbano,7,-17.3708000183105,-66.162353515625
80980530,AGUSTIN MORALES HERNANDEZ,3062,Urbano,4,-17.462884923544,-66.105145931244
80980531,FRANCISCO JAVIER BALDIVIESO LUNA,3062,Urbano,4,-17.466600418091,-66.113136291504
80980532,MARIA AYMA MAMANI,3062,Urbano,7,-17.465000152588,-66.128173828125
80980533,SEÑOR DE SANTIAGO,3062,Urbano,3,-17.466600418091,-66.113136291504
80980534,NAPOLEON MALDONADO VERA,3062,Urbano,7,-17.4323997497559,-66.1121520996094
80980536,26 DE OCTUBRE,3062,Urbano,7,-17.410316550511,-66.121276855469
80980537,EL MIRADOR,3062,Urbano,3,-17.472518269444,-66.209349036216
80980539,CREATIVE KIDS,3061,Urbano,1,-17.366236558806,-66.154907035431
80980540,VERDAD Y VIDA,3062,Urbano,7,-17.4746131896815,-66.1066663380703
80980546,GENOVEVA RIOS,3061,Urbano,7,-17.3568992614746,-66.1542510986328
80980547,TIA KIKA,3061,Urbano,1,-17.3704965422579,-66.1420348882673
80980549,MISIONERAS DE CRISTO JESUS,3062,Urbano,4,-17.4465007781982,-66.1201019287109
80980550,PLURINACIONAL SAN ISIDRO,3062,Urbano,4,-17.4689050894951,-66.1512885093687
